time,subregion,parent,value
2019-11-22T08,SDGE,CISO,1828.97682837737
2019-11-22T09,SDGE,CISO,1962.70546399339
2019-11-22T10,SDGE,CISO,2076.11351323266
2019-11-22T11,SDGE,CISO,2144.04569048843
2019-11-22T12,SDGE,CISO,2153.21812843621
2019-11-22T13,SDGE,CISO,2105.38247622528
2019-11-22T14,SDGE,CISO,2016.51104120797
2019-11-22T15,SDGE,CISO,1912.24446555633
2019-11-22T16,SDGE,CISO,1820.83992476797
2019-11-22T17,SDGE,CISO,1765.52147892953
2019-11-22T18,SDGE,CISO,1758.28755241629
2019-11-22T19,SDGE,CISO,1796.83288599886
2019-11-22T20,SDGE,CISO,1865.40067613849
2019-11-22T21,SDGE,CISO,1939.32094592161
2019-11-22T22,SDGE,CISO,1991.99785057584
2019-11-22T23,SDGE,CISO,2002.44816950135
2019-11-23T00,SDGE,CISO,1961.3429736635
2019-11-23T01,SDGE,CISO,1873.90487492136
2019-11-23T02,SDGE,CISO,1758.85716988303
2019-11-23T03,SDGE,CISO,1643.68240743555
2019-11-23T04,SDGE,CISO,1557.44186995797
2019-11-23T05,SDGE,CISO,1523.06746860377
2019-11-23T06,SDGE,CISO,1551.18627932688
2019-11-23T07,SDGE,CISO,1637.13497691462
2019-11-23T08,SDGE,CISO,1761.97415153471
2019-11-23T09,SDGE,CISO,1897.24739201285
2019-11-23T10,SDGE,CISO,2012.23201625992
2019-11-23T11,SDGE,CISO,2081.76448505089
2019-11-23T12,SDGE,CISO,2092.57151320102
2019-11-23T13,SDGE,CISO,2046.43835257654
2019-11-23T14,SDGE,CISO,1959.39141727533
2019-11-23T15,SDGE,CISO,1857.13691548528
2019-11-23T16,SDGE,CISO,1767.99546842622
2019-11-23T17,SDGE,CISO,1715.23765622336
2019-11-23T18,SDGE,CISO,1710.87922614337
2019-11-23T19,SDGE,CISO,1752.59652322251
2019-11-23T20,SDGE,CISO,1824.57967226055
2019-11-23T21,SDGE,CISO,1902.07947620039
2019-11-23T22,SDGE,CISO,1958.40876793576
2019-11-23T23,SDGE,CISO,1972.49712040179
2019-11-24T00,SDGE,CISO,1934.94704499082
2019-11-24T01,SDGE,CISO,1850.94071661572
2019-11-24T02,SDGE,CISO,1739.19152861942
2019-11-24T03,SDGE,CISO,1627.19785973567
2019-11-24T04,SDGE,CISO,1544.05226458137
2019-11-24T05,SDGE,CISO,1512.72068679987
2019-11-24T06,SDGE,CISO,1543.855542945
2019-11-24T07,SDGE,CISO,1632.80309136096
2019-11-24T08,SDGE,CISO,1760.6169095387
2019-11-24T09,SDGE,CISO,1898.82239472193
2019-11-24T10,SDGE,CISO,2016.67739472379
2019-11-24T11,SDGE,CISO,2089.00892503375
2019-11-24T12,SDGE,CISO,2102.55345496468
2019-11-24T13,SDGE,CISO,2059.12923690436
2019-11-24T14,SDGE,CISO,1974.81622226612
2019-11-24T15,SDGE,CISO,1875.3854499752
2019-11-24T16,SDGE,CISO,1789.21993334898
2019-11-24T17,SDGE,CISO,1739.63533627401
2019-11-24T18,SDGE,CISO,1738.66295462576
2019-11-24T19,SDGE,CISO,1783.95877268029
2019-11-24T20,SDGE,CISO,1859.65790558076
2019-11-24T21,SDGE,CISO,1940.930263707
2019-11-24T22,SDGE,CISO,2000.9961554824
2019-11-24T23,SDGE,CISO,2018.69734094252
2019-11-25T00,SDGE,CISO,1984.56778257222
2019-11-25T01,SDGE,CISO,1903.74976550187
2019-11-25T02,SDGE,CISO,1794.94770857383
2019-11-25T03,SDGE,CISO,1685.67694707955
2019-11-25T04,SDGE,CISO,1605.06247099223
2019-11-25T05,SDGE,CISO,1576.10535898389
2019-11-25T06,SDGE,CISO,1609.48440039124
2019-11-25T07,SDGE,CISO,1700.55647338948
2019-11-25T08,SDGE,CISO,1830.36931435838
2019-11-25T09,SDGE,CISO,1970.43157967993
2019-11-25T10,SDGE,CISO,2089.98348517292
2019-11-25T11,SDGE,CISO,2163.84486021553
2019-11-25T12,SDGE,CISO,2178.7645495808
2019-11-25T13,SDGE,CISO,2136.5966442797
2019-11-25T14,SDGE,CISO,2053.4774903918
2019-11-25T15,SDGE,CISO,1955.24563149301
2019-11-25T16,SDGE,CISO,1870.34880802304
2019-11-25T17,SDGE,CISO,1822.14969731711
